,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
6041, HYBRIS US CORP ,155," 108,350 ",Associate Degree,D
,  ,,   ,Bachelor's,88
,  ,,   ,Master's,66
5396, THE UNIV OF AL AT BIRMINGHAM UAB ,155," 53,516 ",Bachelor's,D
,  ,,   ,Doctorate,67
,  ,,   ,Master's,29
,  ,,   ,Professional Degree,55
2041, PURDUE UNIV ,154," 70,944 ",Bachelor's,D
,  ,,   ,Doctorate,131
,  ,,   ,Master's,18
,  ,,   ,Professional Degree,D
2344, CAREMARK LLC ,154," 98,545 ",Bachelor's,80
,  ,,   ,Doctorate,D
,  ,,   ,Master's,72
,  ,,   ,No Diploma,D
5591, UNIV OF PITTSBURGH ,153," 55,892 ",Bachelor's,D
,  ,,   ,Doctorate,111
,  ,,   ,Master's,22
,  ,,   ,Professional Degree,18
6494, UNIV OF CA DAVIS ,153," 68,597 ",Bachelor's,D
,  ,,   ,Doctorate,130
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,11
6195, SERVICENOW INC ,152," 117,155 ",Bachelor's,50
,  ,,   ,Doctorate,D
,  ,,   ,Master's,101
5578, AGREEYA SOLTUIONS INC ,152," 87,967 ",Bachelor's,94
,  ,,   ,Master's,58
6067, FIDELITY INVESTMENTS ,152," 90,595 ",Bachelor's,74
,  ,,   ,Doctorate,D
,  ,,   ,Master's,77
2661, SCHLUMBERGER TECH CORP ,152," 94,943 ",Bachelor's,29
,  ,,   ,Doctorate,20
,  ,,   ,Master's,103
8235, UT BATELLE LLC ORNL ,150," 81,162 ",Doctorate,142
,  ,,   ,Master's,D
6251, CIGNITI INC ,149," 71,632 ",Bachelor's,80
,  ,,   ,Master's,69
1881, NISUM TECHNOLOGIES INC ,149," 109,497 ",Bachelor's,76
,  ,,   ,Master's,73
2326, SRS CONSULTING INC ,149," 90,309 ",Bachelor's,81
,  ,,   ,Master's,68
6803, DELL PRODUCTS L P ,149," 102,829 ",Bachelor's,45
,  ,,   ,Doctorate,D
,  ,,   ,Master's,101
,  ,,   ,Professional Degree,D
9461, PROKARMA INC ,148," 98,610 ",Bachelor's,81
,  ,,   ,Master's,67
9970, TEXAS INSTRUMENT INCORPORATED ,148," 108,876 ",Bachelor's,27
,  ,,   ,Doctorate,13
,  ,,   ,Master's,108
1766, BIRLLIO LLC ,147," 80,067 ",Bachelor's,109
,  ,,   ,Master's,38
8826, GENPACT LLC ,147," 84,019 ",Bachelor's,67
,  ,,   ,Doctorate,D
,  ,,   ,Master's,78
3295, GROUPON INC ,142," 129,429 ",Bachelor's,47
,  ,,   ,Doctorate,D
,  ,,   ,Master's,89
,  ,,   ,Professional Degree,D
3796, ASTIR IT SOLUTIONS ,141," 114,223 ",Bachelor's,53
,  ,,   ,Master's,88
3183, MEDTRONIC INC ,141," 94,619 ",Bachelor's,24
,  ,,   ,Doctorate,14
,  ,,   ,Master's,102
,  ,,   ,Professional Degree,D
3424, MANHATTAN ASSOCIATES INC ,141," 95,932 ",Bachelor's,95
,  ,,   ,Doctorate,D
,  ,,   ,Master's,45
9518, DB GLOBAL TECHNOLOGIES INC ,140," 96,780 ",Bachelor's,76
,  ,,   ,Doctorate,D
,  ,,   ,Master's,63
2394, UNIV OF SOUTHER CALIFORNIA ,139," 83,235 ",Bachelor's,D
,  ,,   ,Doctorate,84
,  ,,   ,Master's,34
,  ,,   ,Professional Degree,13
6143, UCLA ,139," 82,687 ",Bachelor's,10
,  ,,   ,Doctorate,92
,  ,,   ,Master's,26
,  ,,   ,Professional Degree,11
8191, CITIGROUP GLOBAL MARKETS INC ,137," 145,862 ",Bachelor's,40
,  ,,   ,Doctorate,D
,  ,,   ,Master's,89
,  ,,   ,Professional Degree,D
0376, THE PENNSYLVANIA STATE UNIV ,137," 70,594 ",Doctorate,129
,  ,,   ,Master's,D
5526, APPLIED MATERIAL INC ,137," 108,611 ",Bachelor's,34
,  ,,   ,Doctorate,43
,  ,,   ,Master's,59
,  ,,   ,Professional Degree,D
2309, NEW YORK UNIV OF SCH OF MEDICINE ,136," 80,550 ",Bachelor's,12
,  ,,   ,Doctorate,73
,  ,,   ,Master's,31
,  ,,   ,Professional Degree,20
3859, CURATORS OF THE UNIV OF MISSOURI ,136," 69,635 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,86
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,30
1197, ICAHN SC OF MEDICINE AT MT SINAI ,135," 73,343 ",Bachelor's,D
,  ,,   ,Doctorate,70
,  ,,   ,Master's,19
,  ,,   ,Professional Degree,43
6144, UNIV OF CA SAN DIEGO ,135," 68,063 ",Bachelor's,D
,  ,,   ,Doctorate,118
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
5986, THE OH STATE UNIV ,134," 74,859 ",Bachelor's,D
,  ,,   ,Doctorate,95
,  ,,   ,Master's,16
,  ,,   ,Professional Degree,15
4813, THE UNIV OF IA ,134," 82,901 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,55
,  ,,   ,Master's,11
,  ,,   ,Professional Degree,59
2614, THE BOSTON CONSULTING GR INC ,133," 145,776 ",Bachelor's,39
,  ,,   ,Doctorate,D
,  ,,   ,Master's,86
9768, DIVERSANT LLC ,133," 116,321 ",Bachelor's,86
,  ,,   ,Master's,47
5628, NAGARRO INC ,133," 79,939 ",Bachelor's,79
,  ,,   ,Master's,54
2129, DUKE UNIV DIV MED CTR & AFFIL INS ,133," 63,894 ",Bachelor's,D
,  ,,   ,Doctorate,103
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,D
1537, UNIV OF WA ,133," 79,049 ",Doctorate,110
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,20
7983, GEN HOSP CORP D B A MASS GEN HOSP ,132," 57,078 ",Bachelor's,D
,  ,,   ,Doctorate,86
,  ,,   ,Master's,25
,  ,,   ,Professional Degree,13
3498, ADS ALLIANCE DATA SYSTEMS INC ,132," 100,901 ",Bachelor's,57
,  ,,   ,Doctorate,D
,  ,,   ,Master's,72
7987, EAST CENTRAL UNIV ,132," 72,657 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,73
,  ,,   ,Master's,24
,  ,,   ,Professional Degree,30
5245, HARMONY PUBLIC SCHOOLS ,132," 44,319 ",Bachelor's,101
,  ,,   ,Doctorate,D
,  ,,   ,Master's,30
4441, CHILDREN S HOSP CORP ,130," 66,997 ",Bachelor's,D
,  ,,   ,Doctorate,67
,  ,,   ,Master's,25
,  ,,   ,Professional Degree,32
3779, TWITTER INC ,130," 147,327 ",Bachelor's,43
,  ,,   ,Doctorate,13
,  ,,   ,Master's,71
,  ,,   ,Some College Credits,D
2744, CATERPILLAR INC ,130," 95,900 ",Bachelor's,18
,  ,,   ,Doctorate,18
,  ,,   ,Master's,93
,  ,,   ,Professional Degree,D
9719, EXPERIS US INC ,130," 92,506 ",Bachelor's,78
,  ,,   ,Master's,52
7214, ADP TECH SVCS INC ,129," 112,979 ",Bachelor's,65
,  ,,   ,Doctorate,D
,  ,,   ,Master's,63
0005, SPRINT CORPORATION ,129," 90,217 ",Bachelor's,48
,  ,,   ,Doctorate,D
,  ,,   ,Master's,80
2098, CLIENT NETWORK SERVICES INC ,129," 95,291 ",Bachelor's,58
,  ,,   ,Master's,71
4179, VALUE MOMENTUM INC ,128," 82,815 ",Bachelor's,99
,  ,,   ,Master's,29
1916, CITIUS TECH INC ,128," 86,488 ",Bachelor's,101
,  ,,   ,Master's,27
0756, NC STATE UNIV ,128," 59,096 ",Bachelor's,D
,  ,,   ,Doctorate,98
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,18
9517, BROCADE COMMUNICATIONS SYSTEMS I ,127," 130,715 ",Bachelor's,57
,  ,,   ,Doctorate,D
,  ,,   ,Master's,69
7419, GOLDMAN SACHS SERVICES LLC ,126," 114,931 ",Bachelor's,51
,  ,,   ,Master's,75
4423, PROFICIENT BUS SYSS INC ,126," 70,824 ",Bachelor's,71
,  ,,   ,Master's,55
4547, INTRAEDGE INC ,126," 70,694 ",Bachelor's,75
,  ,,   ,Master's,51
0525, UNIV OF UT ,126," 82,965 ",Bachelor's,11
,  ,,   ,Doctorate,69
,  ,,   ,Master's,29
,  ,,   ,Professional Degree,17
7445, STATE ST BANK & TRUST COMPANY ,125," 108,285 ",Bachelor's,34
,  ,,   ,Doctorate,D
,  ,,   ,Master's,82
0053, NESS USA INC ,125," 91,137 ",Bachelor's,65
,  ,,   ,Master's,60
0776, AMGEN INC ,125," 171,853 ",Bachelor's,D
,  ,,   ,Doctorate,20
,  ,,   ,Master's,95
,  ,,   ,Professional Degree,D
3439, FIDELITY INVESTMENTS ,123," 91,604 ",Bachelor's,56
,  ,,   ,Master's,67
6960, PHOTON INFOTECH INC ,123," 80,985 ",Bachelor's,88
,  ,,   ,Master's,35
2778, YASH TECHNOLOGIES INC ,123," 66,741 ",Bachelor's,77
,  ,,   ,Master's,45
,  ,,   ,Some College Credits,D
7020, HENRY FORD HEALTH SYS ,123," 112,741 ",Bachelor's,25
,  ,,   ,Doctorate,D
,  ,,   ,Master's,26
,  ,,   ,Professional Degree,63
9502, SABRE GLBL INC ,123," 98,478 ",Bachelor's,39
,  ,,   ,Doctorate,D
,  ,,   ,Master's,79
2868, THE UNIV OF TEXAS SOUTHWESTERN ME ,123," 68,049 ",Bachelor's,D
,  ,,   ,Doctorate,90
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,14
4228, MUFG UNION BANK N A ,123," 119,792 ",Bachelor's,50
,  ,,   ,Doctorate,D
,  ,,   ,Master's,66
,  ,,   ,Professional Degree,D
4085, ALTAIR PRODUCT DESIGN INC ,122," 65,037 ",Bachelor's,29
,  ,,   ,Doctorate,D
,  ,,   ,Master's,90
1793, SANDISK CORP ,122," 119,219 ",Bachelor's,15
,  ,,   ,Doctorate,14
,  ,,   ,Master's,93
4398, BARCLAYS SERVICES CORP ,121," 121,441 ",Bachelor's,46
,  ,,   ,Doctorate,D
,  ,,   ,Master's,73
6691, BLACKROCK FINANCIAL MANAGEMENT IN ,121," 101,843 ",Bachelor's,40
,  ,,   ,Doctorate,D
,  ,,   ,Master's,74
7524, MANAGEMENT HEALTH SYSS DBA MEDPRO ,121," 54,111 ",Bachelor's,121
6822, VANDERBILT MEDICAL CENTER ,121," 67,002 ",Bachelor's,10
,  ,,   ,Doctorate,63
,  ,,   ,Master's,28
,  ,,   ,Professional Degree,20
0312, SYSTIME COMP CORP D/B/A KPIT ,120," 85,094 ",Bachelor's,83
,  ,,   ,Master's,34
,  ,,   ,Some College Credits,D
0531, TEXAS A&M UNIV ,120," 63,099 ",Bachelor's,D
,  ,,   ,Doctorate,90
,  ,,   ,Master's,21
,  ,,   ,Professional Degree,D
0875, XORIANT CORP ,120," 89,600 ",Bachelor's,60
,  ,,   ,Master's,60
7090, ARICENT N A ,119," 113,679 ",Bachelor's,70
,  ,,   ,Master's,49
4501, THE TRUSTEES OF PRINCETON UNIV ,119," 77,284 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,102
,  ,,   ,Master's,13
1647, CYBER THINK INC ,119," 79,890 ",Bachelor's,67
,  ,,   ,Master's,52
1086, RUTGERS THE STATE UNIV OF N J ,119," 79,764 ",Bachelor's,D
,  ,,   ,Doctorate,101
,  ,,   ,Master's,10
,  ,,   ,Professional Degree,D
3594, MA INST OF TECH ,118," 70,509 ",Bachelor's,D
,  ,,   ,Doctorate,111
,  ,,   ,Master's,D
2319, AKAMAI TECHNOLOGIES INC ,118," 114,434 ",Bachelor's,25
,  ,,   ,Doctorate,D
,  ,,   ,Master's,88
5717, HOWARD HUGHES MED INST ,118," 60,052 ",Bachelor's,D
,  ,,   ,Doctorate,115
,  ,,   ,Master's,D
3217, SRIVEN SYSTEMS INC ,117," 75,906 ",Bachelor's,41
,  ,,   ,Master's,76
0434, BOROUGH OF MANHATTAN COMMUNITY CO ,116," 67,038 ",Bachelor's,D
,  ,,   ,Doctorate,15
,  ,,   ,Master's,98
4614, FIS MANAGEMENT SERVICES LLC ,116," 99,927 ",Bachelor's,65
,  ,,   ,Master's,51
6789, GLOBALLOGIC IN ,116," 103,145 ",Bachelor's,65
,  ,,   ,Doctorate,D
,  ,,   ,Master's,50
1436, HEWLETT PACKARD CO ,116," 114,003 ",Bachelor's,39
,  ,,   ,Doctorate,D
,  ,,   ,Master's,69
8768, IT AMERICA INC ,114," 64,995 ",Bachelor's,31
,  ,,   ,Master's,83
7394, FCA US LLC ,114," 92,656 ",Bachelor's,12
,  ,,   ,Doctorate,D
,  ,,   ,Master's,93
,  ,,   ,Some College Credits,D
8666, CARDINAL HEALTH INC ,114," 96,489 ",Bachelor's,45
,  ,,   ,Master's,69
1153, SAMSUNG ELECTRONICS AMERICA INC ,113," 111,218 ",Bachelor's,43
,  ,,   ,Doctorate,D
,  ,,   ,Master's,68
1636, THE UNIV OF TENNESSEE ,113," 53,595 ",Bachelor's,D
,  ,,   ,Doctorate,72
,  ,,   ,Master's,11
,  ,,   ,Professional Degree,29
4559, SIRI INFOSOLUTIONS INC ,112," 75,340 ",Bachelor's,23
,  ,,   ,Master's,89
2542, SAP LABS LLC ,112," 110,818 ",Bachelor's,47
,  ,,   ,Doctorate,D
,  ,,   ,Master's,62
3189, E TOUCH SYSTEMS CORPORATION ,112," 97,764 ",Bachelor's,67
,  ,,   ,Master's,45
0114, MONTEFIORE MED CTR ,111," 93,931 ",Bachelor's,D
,  ,,   ,Master's,13
,  ,,   ,Professional Degree,93
3661, CITICORP CREDIT SERVICES INC USA ,111," 111,527 ",Bachelor's,27
,  ,,   ,Doctorate,D
,  ,,   ,Master's,81
7272, NETFLIX INC ,111," 322,405 ",Bachelor's,33
,  ,,   ,Doctorate,10
,  ,,   ,Master's,66
,  ,,   ,No Diploma,D
,  ,,   ,Professional Degree,D
0626, CVS PHARMACY ,110," 110,124 ",Bachelor's,57
,  ,,   ,Master's,52
,  ,,   ,Professional Degree,D
8315, PYRAMID TECH SOLUTIONS INC ,110," 71,698 ",Bachelor's,54
,  ,,   ,Master's,56
9196, AIRWATCH LLC ,110," 94,162 ",Bachelor's,47
,  ,,   ,Master's,63
0354, SOGETI USA INC ,109," 86,386 ",Bachelor's,65
,  ,,   ,Master's,44
5361, USM BUSINESS SYSS INC ,109," 75,016 ",Bachelor's,18
,  ,,   ,Master's,91
7393, WELLS FARGO BANK N A ,109," 136,970 ",Bachelor's,31
,  ,,   ,Doctorate,27
,  ,,   ,Master's,51
2547, FACTSET RESEARCH SYSS INC ,108," 102,826 ",Bachelor's,13
,  ,,   ,Master's,95
7504, COMM VAULT SYSTEMS INC ,108," 102,518 ",Bachelor's,45
,  ,,   ,Master's,63
1796, UNIV OF VA ,108," 69,228 ",Bachelor's,D
,  ,,   ,Doctorate,62
,  ,,   ,Master's,14
,  ,,   ,Professional Degree,28
2909, BRIGHAM & WOMEN S HOSPITAL ,107," 60,141 ",Bachelor's,D
,  ,,   ,Doctorate,45
,  ,,   ,Master's,20
,  ,,   ,Professional Degree,34
5086, GRADISON MANAGEMENT INC ,107," 53,675 ",Bachelor's,107
3307, CA INST OF TECH ,107," 73,425 ",Bachelor's,D
,  ,,   ,Doctorate,101
,  ,,   ,Master's,D
6127, STAPLES INC ,106," 109,075 ",Bachelor's,49
,  ,,   ,Master's,57
9427, BATTELLE MEMORIAL INST ,106," 77,234 ",Bachelor's,D
,  ,,   ,Doctorate,84
,  ,,   ,Master's,18
8669, MARVELL SEMICONDUCTOR INC ,106," 104,814 ",Bachelor's,13
,  ,,   ,Doctorate,10
,  ,,   ,Master's,83
7172, TAVANT TECHNOLOGIES INC ,106," 94,771 ",Bachelor's,75
,  ,,   ,Master's,31
9853, AUTODESK INC ,106," 116,039 ",Bachelor's,44
,  ,,   ,Doctorate,D
,  ,,   ,Master's,57
6104, EPAM SYSTEMS INC ,105," 93,476 ",Bachelor's,31
,  ,,   ,Master's,74
2123, UNIV OF CA BERKELEY ,105," 80,417 ",Bachelor's,D
,  ,,   ,Doctorate,85
,  ,,   ,Master's,11
5091, HUGHES NETWORK SYSTEMS LLC ,104," 88,485 ",Bachelor's,17
,  ,,   ,Doctorate,D
,  ,,   ,Master's,86
8221, HP ENTERPRISE ERVICES LLC ,104," 102,852 ",Bachelor's,52
,  ,,   ,Master's,52
5971, TEMPLE UNIV ,103," 73,804 ",Bachelor's,D
,  ,,   ,Doctorate,88
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
4034, RITE AID CORP ,103," 86,847 ",Bachelor's,49
,  ,,   ,Doctorate,10
,  ,,   ,Master's,35
,  ,,   ,Professional Degree,D
9231, QUALCOMM INNOVATION CENTER INC ,103," 115,128 ",Bachelor's,37
,  ,,   ,Master's,66
1118, THE UNIV OF TEXAS MD ANDERSON CAN ,103," 69,168 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,63
,  ,,   ,Master's,13
,  ,,   ,Professional Degree,25
2622, TEXAS TECH UNIV ,103," 81,613 ",Bachelor's,D
,  ,,   ,Doctorate,66
,  ,,   ,Master's,15
,  ,,   ,Professional Degree,19
2300, ADVANCED MICRO DEVICES INC ,103," 110,086 ",Bachelor's,12
,  ,,   ,Doctorate,D
,  ,,   ,Master's,82
7251, QUALITY MATRIX INC ,102," 69,787 ",Bachelor's,31
,  ,,   ,Master's,71
9723, IFC INFOTECH USA INC ,102," 78,886 ",Bachelor's,74
,  ,,   ,Doctorate,D
,  ,,   ,Master's,27
9296, RJT COMPUQUEST INC ,102," 67,172 ",Bachelor's,61
,  ,,   ,Master's,41
3964, FUSHION PLUS SOLUTIONS INC ,102," 78,856 ",Bachelor's,14
,  ,,   ,Master's,88
9727, TIBCO SOFTWARE INC ,101," 107,978 ",Bachelor's,42
,  ,,   ,Master's,59
0422, WORDAY INC ,100," 132,252 ",Bachelor's,35
,  ,,   ,Doctorate,D
,  ,,   ,Master's,61
,  ,,   ,Professional Degree,D
1556, LOGIC PLANET INC ,100," 75,171 ",Bachelor's,32
,  ,,   ,Master's,68
8992, CASE WESTERN RESERVE UNIV ,100," 53,166 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,81
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
3776, DISCOVER PRODUCTS ,99," 92,087 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,85
1546, HEALTH CAROUSEL II LLC ,99," 50,356 ",Bachelor's,18
,  ,,   ,Master's,81
3319, HOME DEPOT USA INC ,99," 105,726 ",Bachelor's,41
,  ,,   ,Doctorate,D
,  ,,   ,Master's,57
6242, UNIV OF AR FOR MED SCIENCES ,99," 113,671 ",Bachelor's,D
,  ,,   ,Doctorate,29
,  ,,   ,Master's,13
,  ,,   ,Professional Degree,56
6696, ARIZONA STATE UNIV ,99," 71,870 ",Bachelor's,D
,  ,,   ,Doctorate,81
,  ,,   ,Master's,16
,  ,,   ,Professional Degree,D
0195, PALO ALTO NETWORKS INC ,98," 117,234 ",Bachelor's,20
,  ,,   ,Doctorate,D
,  ,,   ,Master's,74
1077, EVEREST CONSULTING GROUP INC ,98," 82,806 ",Bachelor's,48
,  ,,   ,Master's,50
3710, INFORMATICA CORP ,98," 122,225 ",Bachelor's,49
,  ,,   ,Master's,49
7598, GILEAD SCIENCES INC ,98," 119,758 ",Bachelor's,27
,  ,,   ,Doctorate,13
,  ,,   ,Master's,57
,  ,,   ,Professional Degree,D
0010, JOHNSON CONTROLS ,97," 97,752 ",Bachelor's,38
,  ,,   ,Doctorate,D
,  ,,   ,Master's,56
,  ,,   ,No Diploma,D
4681, TEK SERVICES LLC ,97," 65,936 ",Bachelor's,18
,  ,,   ,Master's,79
5205, MICROEXCEL INC ,96," 86,809 ",Bachelor's,54
,  ,,   ,Master's,42
9190, FORD MOTOR CO ,96," 96,856 ",Bachelor's,15
,  ,,   ,Doctorate,15
,  ,,   ,Master's,64
,  ,,   ,Professional Degree,D
0971, ADITI TECHNOLOGIES PRIVATE LTD ,96," 89,528 ",Bachelor's,54
,  ,,   ,High School,D
,  ,,   ,Master's,41
2217, TERADATA OPERATION INC ,95," 107,332 ",Bachelor's,50
,  ,,   ,Doctorate,D
,  ,,   ,Master's,42
7241, HSBC BANK USA N A ,95," 114,880 ",Bachelor's,41
,  ,,   ,Doctorate,D
,  ,,   ,Master's,51
4909, IRIS SOFTWARE INC ,95," 111,448 ",Bachelor's,54
,  ,,   ,Master's,41
1428, AIRBNB INC ,95," 150,736 ",Bachelor's,23
,  ,,   ,Doctorate,D
,  ,,   ,Master's,64
3809, DOTCOM TEAM LLC ,95," 83,539 ",Bachelor's,54
,  ,,   ,Master's,41
4541, NIKE INC ,95," 110,195 ",Bachelor's,48
,  ,,   ,Doctorate,D
,  ,,   ,Master's,45
3978, WEILL CORNELL MED COLLEGE ,94," 80,888 ",Bachelor's,D
,  ,,   ,Doctorate,53
,  ,,   ,Master's,21
,  ,,   ,Professional Degree,11
6480, 0 ,94," 44,662 ",Bachelor's,44
,  ,,   ,Master's,50
1741, LAWRENCE BERKELEY NTL LABORATORY ,94," 80,239 ",Bachelor's,D
,  ,,   ,Doctorate,76
,  ,,   ,Master's,16
4458, UNIV OF MIAMI ,93," 102,743 ",Bachelor's,D
,  ,,   ,Doctorate,52
,  ,,   ,Master's,16
,  ,,   ,Professional Degree,24
2689, THE UNIV OF ARIZONA ,93," 87,321 ",Bachelor's,D
,  ,,   ,Doctorate,57
,  ,,   ,Master's,15
,  ,,   ,Professional Degree,14
9359, RACKSPACE US INC ,93," 107,519 ",Bachelor's,30
,  ,,   ,Master's,62
,  ,,   ,Some College Credits,D
6476, EXISERVICE LLC ,93," 92,910 ",Bachelor's,47
,  ,,   ,Doctorate,D
,  ,,   ,Master's,43
,  ,,   ,Professional Degree,D
4572, INFO CONTROL CO LLC ,92," 92,010 ",Bachelor's,52
,  ,,   ,Master's,40
3680, IDEXCE1 INC ,92," 86,027 ",Bachelor's,31
,  ,,   ,Master's,61
0153, TRW AUTOMOTIVE INC ,92," 84,325 ",Bachelor's,37
,  ,,   ,Doctorate,D
,  ,,   ,Master's,54
1218, RE: UNIVERSITY OF KENTUCKY ,92," 99,328 ",Bachelor's,D
,  ,,   ,Doctorate,43
,  ,,   ,Master's,18
,  ,,   ,Professional Degree,28
,  ,,   ,Some College Credits,D
2086, ASPIRE SYSTEMS INC ,92," 83,863 ",Bachelor's,38
,  ,,   ,Master's,54
8754, RIVERBED TECH INC ,91," 130,705 ",Bachelor's,18
,  ,,   ,Doctorate,D
,  ,,   ,Master's,69
,  ,,   ,Professional Degree,D
2821, GSS INFORMATION CT INC ,91," 72,265 ",Bachelor's,43
,  ,,   ,Master's,48
3469, CYMA SYSTEMS INC ,91," 73,712 ",Bachelor's,19
,  ,,   ,Master's,71
,  ,,   ,Some College Credits,D
9767, NUTAMIX INC ,91," 143,584 ",Bachelor's,25
,  ,,   ,Doctorate,D
,  ,,   ,Master's,65
0527, NCS PEARSON INC ,91," 97,522 ",Bachelor's,40
,  ,,   ,Doctorate,D
,  ,,   ,Master's,48
1399, UNIV OF HOUSTON ,91," 65,150 ",Bachelor's,D
,  ,,   ,Doctorate,72
,  ,,   ,Master's,17
,  ,,   ,Professional Degree,D
9461, XAVIENT CHAWLA IMMIGRATION COMPLI ,90," 83,627 ",Bachelor's,44
,  ,,   ,Master's,46
3915, BOOKHAVEN NATIONAL LABORATORY ,90," 82,400 ",Missing Education,D
,  ,,   ,Bachelor's,D
,  ,,   ,Doctorate,81
,  ,,   ,Master's,D
9753, BLUE CROSS BLUE SHIELD OF MICHIGAN ,90," 92,000 ",Bachelor's,32
,  ,,   ,Master's,58
5671, STARBUCK COFFEE CO ,90," 115,866 ",Bachelor's,44
,  ,,   ,Master's,46
0828, DEUTSCHE BANK OF SECURITIES INC ,89," 136,815 ",Bachelor's,37
,  ,,   ,Doctorate,D
,  ,,   ,Master's,51
7434, CA INC ,89," 120,541 ",Bachelor's,51
,  ,,   ,Master's,38
1888, MOUNT SINAI MED CENTER ,89," 78,928 ",Bachelor's,D
,  ,,   ,Doctorate,44
,  ,,   ,Master's,18
,  ,,   ,Professional Degree,20
1190, SPARTA CONSULTING DBA KPIT ,89," 103,242 ",Bachelor's,61
,  ,,   ,Doctorate,D
,  ,,   ,Master's,27
0193, DEUTSCHE BANK AG NEW YORK BRANCH ,89," 127,388 ",Bachelor's,47
,  ,,   ,Doctorate,D
,  ,,   ,Master's,40
0683, SCHNEIDER ELECTRIC ENGINEERING SE ,89," 81,664 ",Bachelor's,28
,  ,,   ,Doctorate,D
,  ,,   ,Master's,60
4475, ROCKWELL COLLINS INC ,88," 89,030 ",Bachelor's,35
,  ,,   ,Doctorate,D
,  ,,   ,Master's,52
6378, MASTERCARD INTERNATIONAL INC ,88," 112,355 ",Bachelor's,46
,  ,,   ,Master's,42
3547, TRUSTEES OF BOSTON UNIVERSITY ,87," 80,916 ",Bachelor's,D
,  ,,   ,Doctorate,54
,  ,,   ,Master's,12
,  ,,   ,Professional Degree,19
7185, DIASPARK INC ,87," 67,084 ",Bachelor's,53
,  ,,   ,Master's,34
8642, FRONTIER TECHNOLOGIES INC ,87," 91,225 ",Bachelor's,D
,  ,,   ,Master's,80
4224, IA STATE UNIV OF SCIENCE & TECH ,87," 62,077 ",Bachelor's,D
,  ,,   ,Doctorate,71
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
9123, UNIV OF NE LINCOLN ,87," 66,632 ",Bachelor's,D
,  ,,   ,Doctorate,55
,  ,,   ,Master's,15
,  ,,   ,Professional Degree,12
3806, FARADAY & FUTURE INC ,87," 117,212 ",Bachelor's,17
,  ,,   ,Doctorate,10
,  ,,   ,Master's,60
1922, AECOM ,87," 74,326 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,71
2308, NEW YORK UNIV ,86," 90,150 ",Bachelor's,D
,  ,,   ,Doctorate,66
,  ,,   ,Master's,15
,  ,,   ,Professional Degree,D
1121, ARISTA NETWORKS INC ,86," 117,935 ",Bachelor's,17
,  ,,   ,Doctorate,D
,  ,,   ,Master's,66
2795, SNAPCHAT INC ,86," 137,209 ",Bachelor's,21
,  ,,   ,Doctorate,D
,  ,,   ,Master's,56
,  ,,   ,Professional Degree,D
1393, UNIV OF NC AT CHAPEL HILL ,86," 68,456 ",Bachelor's,D
,  ,,   ,Doctorate,72
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
1917, CVS PHARMACY ,85," 112,589 ",Bachelor's,33
,  ,,   ,Doctorate,D
,  ,,   ,Master's,27
,  ,,   ,Professional Degree,24
8146, SUNERA TECHNOLOGIES INC ,85," 87,612 ",Bachelor's,40
,  ,,   ,Master's,45
6361, MORGAN STANLEY SERVICES GR INC ,85," 118,879 ",Bachelor's,31
,  ,,   ,Master's,54
0217, BITWISE INC ,85," 64,348 ",Bachelor's,63
,  ,,   ,Master's,22
4508, TATA TECH INC ,85," 72,342 ",Bachelor's,58
,  ,,   ,Master's,27
